gene,t_stat,p_value,fdr,mean_ALL,mean_AML,log2FC,cohen_d,abs_cohen_d
GB DEF = Microtubule-associated protein tau (tau) gene; alternatively spliced products; exon 13/14 and complete cds,2.8241497997249025,0.006991692548999338,0.0486387603263332,-591.9787234042553,-828.36,0.14426655036238029,0.7264215947493867,0.7264215947493867
JNK ACTIVATING KINASE 1,3.129626210513668,0.002691391428487786,0.025080953586522126,549.8936170212766,393.52,0.06360051420971574,0.726108046080062,0.726108046080062
KIAA0153 gene; partial cds,3.0336336479649453,0.003658787777957272,0.03094127884822941,0.1276595744680851,-71.88,0.03417293385407316,0.7258927460076166,0.7258927460076166
G6PT Glucose-6-phosphatase,-2.8459261729083836,0.006541450740402842,0.0462615469006839,-226.9787234042553,-30.6,-0.09616533647372899,-0.7255551398349616,0.7255551398349616
GNAZ Guanine nucleotide binding protein (G protein); alpha z polypeptide,3.342894086562818,0.00134516867989375,0.015643894810705616,183.87234042553192,78.08,0.04759621523771915,0.7254752555147197,0.7254752555147197
COL1A2 Collagen; type I; alpha-2,3.5211467935193554,0.0007635209172660822,0.010625400518105179,237.4468085106383,142.08,0.042132568452036015,0.7251163797582723,0.7251163797582723
Protocadherin 43 mRNA for abbreviated PC43,-2.2371547345574836,0.03371707709348204,0.13595534083678365,95.38297872340425,370.16,-0.11987757630909136,-0.7249594631022046,0.7249594631022046
LYZ Lysozyme,3.3718132150989475,0.001224705486236586,0.01474818481652132,1088.2553191489362,735.8,0.12758610100780482,0.7249100679871753,0.7249100679871753
Fibrinogen; A Alpha Polypeptide; Alt. Splice 3; E,3.3718132150989475,0.001224705486236586,0.01474818481652132,1088.2553191489362,735.8,0.12758610100780482,0.7249100679871753,0.7249100679871753
GB DEF = DNA for endogenous retroviral like element,3.455810961919441,0.0009364287229806073,0.012113642339913256,938.1489361702128,655.72,0.10525340437707197,0.7247733843673824,0.7247733843673824
(clone S164) mRNA; 3' end of cds,-2.8175800279727525,0.007110542914054068,0.04921462178086548,161.68085106382978,250.96,-0.03924373940475585,-0.7243179506055069,0.7243179506055069
Zona pellucida glycoprotein 2 (ZP2) mRNA,2.894945766356576,0.005626031658366045,0.04156267325646791,-107.23404255319149,-289.72,0.09152311786740792,0.72421013781166,0.72421013781166
BRCA2 region; mRNA sequence CG037,-2.7878300743099076,0.007765451647287676,0.051583869572803386,371.7659574468085,460.08,-0.036489070339590805,-0.7240585207890505,0.7240585207890505
GB DEF = Ribonuclease k6 precursor gene,2.9798151959948456,0.004323688455143619,0.03482889830137725,761.1276595744681,398.92,0.14304699924699446,0.7239396873635204,0.7239396873635204
ADD2 Adducin 2 (beta) {alternative products},-2.7237467727535027,0.009363136739171957,0.05794253629649035,603.468085106383,805.08,-0.07696095038938787,-0.723760861729018,0.723760861729018
Delta-globin gene extracted from Human beta globin region on chromosome 11,-2.7588419461132467,0.008453866225474851,0.05471898315384284,314.1489361702128,453.0,-0.05791077482301116,-0.7237555233284294,0.7237555233284294
Serine/Threonine Kinase (Gb:Z25431),3.714335374845424,0.0004377048378030128,0.00720646140576831,45.680851063829785,-87.48,0.06289185141833435,0.7234047990203725,0.7234047990203725
SSA1 Sjogren syndrome antigen A1 (52kD; ribonucleoprotein autoantigen SS-A/Ro),3.518825129241114,0.0007698835210992706,0.010625400518105179,931.8723404255319,506.12,0.16202288823878033,0.723117753090354,0.723117753090354
KIAA0073 gene; partial cds,-2.706862929991273,0.009819812110155405,0.05998752402167771,795.0851063829788,1022.44,-0.08233685156080868,-0.7228855723181064,0.7228855723181064
Zinc Finger Protein Znfpt1,2.446488618534481,0.020012284750945145,0.09758384267406836,-84.57446808510639,-138.6,0.026293411392913243,0.7225423987106345,0.7225423987106345
CTSC Cathepsin C,-2.355866961339421,0.025205844522102328,0.11251541428351511,112.53191489361703,220.08,-0.04785893736491847,-0.7224589765627454,0.7224589765627454
PPP1CA Protein phosphatase 1; catalytic subunit; alpha isoform,-2.7281745728937903,0.009227702456054747,0.057466469296475364,1694.4893617021276,2109.2,-0.12026236979958284,-0.7223432829231855,0.7223432829231855
Collagen; Type Vi; Alpha 2; N-Terminal Domain,-2.718189613504588,0.00949428616965827,0.05844971166104819,388.9148936170213,528.12,-0.05682712996698324,-0.7220097439335912,0.7220097439335912
Cytochrome P450 reductase [human; placenta; mRNA Partial; 2403 nt],3.672983398440004,0.0004916495676823223,0.007781748364194086,282.63829787234044,168.84,0.04972909360787043,0.7217659760164573,0.7217659760164573
CYSTATIN A,-2.639378429400148,0.01187226952061508,0.06830553373742189,432.17021276595744,608.24,-0.07064829747389063,-0.7212769980119508,0.7212769980119508
Nuclear Factor 1; A Type,-2.700988732481139,0.009962799831919701,0.06058477431451649,193.6595744680851,300.0,-0.04617446887054051,-0.7208843740769577,0.7208843740769577
EBI1-ligand chemokine,-2.8310340525439623,0.006798451691259445,0.04760919656875107,59.191489361702125,101.64,-0.019402126890480147,-0.7208613609480268,0.7208613609480268
Alpha(1;3)fucosyltransferase mRNA,2.499370843762438,0.017390983083292778,0.08900238219726793,-382.8510638297872,-534.08,0.08337538961236843,0.7208253740857797,0.7208253740857797
(clone pA3) protein disulfide isomerase related protein (ERp72) mRNA,3.3142027308202264,0.0014705916751282424,0.01658836717086905,2319.9148936170213,1699.92,0.1760889230866097,0.7201301384717779,0.7201301384717779
C4BPA Complement component 4-binding protein; alpha,-2.1429281395329527,0.041874237651107614,0.15480132795258625,285.0851063829787,732.88,-0.1804397623038472,-0.7201281209138553,0.7201281209138553
LCAT Lecithin-cholesterol acyltransferase,3.220909229891618,0.001988406473384627,0.020221611624477897,-257.8085106382979,-463.56,0.10937173950305254,0.7199650547839634,0.7199650547839634
(clone p5-23-3) mRNA,2.884446785008996,0.005775538923562544,0.042229555883156286,-672.0851063829788,-842.88,0.10632504227821149,0.7199063274771058,0.7199063274771058
Putative envelope protein; orf similar to env of Type A and Type B retroviruses and to class II HERVs gene extracted from Human endogenous retrovirus HERV-K(HML6) proviral clone HML6.17 putative polymerase and envelope genes; partial cds; and 3'LTR,-2.7968125551860683,0.00752029185935198,0.05054059057461229,-19.425531914893618,135.04,-0.07112492059219903,-0.7198610562393262,0.7198610562393262
GRSF1 G-rich RNA sequence binding factor 1,3.505064638852231,0.0008047733758766144,0.010764032639070139,265.21276595744683,100.48,0.07294291979192767,0.7196056203967119,0.7196056203967119
Usf mRNA for late upstream transcription factor,-2.8564320932999268,0.006286285917767824,0.04494978165272499,1112.936170212766,1448.28,-0.11110431702940719,-0.719569176562092,0.719569176562092
MAD MAD protein (MAX-binding protein),-2.465364666338899,0.01898140543261145,0.09449611684992111,2976.553191489362,4327.32,-0.2906285356911306,-0.7185087400245721,0.7185087400245721
VSNL1 Visinin-like 1,-2.7315359401048984,0.009091918574551931,0.05705999527366212,139.3404255319149,228.12,-0.03929459234180423,-0.7182526368200627,0.7182526368200627
GB DEF = Neurotrophin-4 (NT-4) gene,3.6856357945123004,0.00047960327570520606,0.0076833522528144136,410.74468085106383,220.56,0.08091938590854629,0.7182174763537302,0.7182174763537302
Interleukin-8 receptor type A (IL8RBA) gene; promoter and complete cds,-2.234813818846874,0.033755893877091485,0.13595806070609331,74.14893617021276,534.4,-0.19673864413193787,-0.7180552449865547,0.7180552449865547
H_LUCA14.2a gene extracted from Human cosmid LUCA14,-2.6654836858266244,0.01098751013902494,0.0640998034215293,281.51063829787233,407.56,-0.05317044128873043,-0.7179889359686397,0.7179889359686397
SPRR1B Small proline-rich protein 1B (cornifin),-2.6928460993116032,0.01015472925254581,0.06142827945671861,801.4042553191489,1017.2,-0.07813800352968499,-0.717330165641191,0.717330165641191
Rev interacting protein Rip-1 mRNA,2.4760739217492715,0.0184334523314556,0.09256894282391427,-569.9148936170212,-782.04,0.12759517409922155,0.7172648474092835,0.7172648474092835
Protocadherin 42 mRNA for abbreviated PC42,2.9681154261713334,0.004442530821227975,0.03554793211599927,22.829787234042552,-140.64,0.07818606266605815,0.7170396682083017,0.7170396682083017
P2x1 receptor mRNA,2.9818733977478233,0.004252460441042777,0.03444976191385678,766.8723404255319,523.28,0.0944767124200904,0.7165300921242489,0.7165300921242489
GB DEF = Thyroid receptor interactor (TRIP14) gene; 3' end of cds,3.2320450502582627,0.001910875732685288,0.01974294651929481,1006.8510638297872,627.44,0.1407109771438291,0.7161038997104548,0.7161038997104548
GB DEF = Bumetanide-sensitive Na-K-2Cl cotransporter (NKCC2) mRNA,3.005467704007007,0.003943051953307558,0.03250850658645382,315.1914893617021,202.88,0.04858914773584968,0.7154630462167967,0.7154630462167967
Epican; Alt. Splice 1,-2.582683241008316,0.013802646623794676,0.07592520662116685,670.5531914893617,997.76,-0.12079705419879348,-0.7150555707443367,0.7150555707443367
Clone 61501 defective mariner transposon Hsmar2 mRNA sequence,-2.582683241008316,0.013802646623794676,0.07592520662116685,670.5531914893617,997.76,-0.12079705419879348,-0.7150555707443367,0.7150555707443367
Pre-T/NK cell associated protein (1D12A2) mRNA,3.2810431560970774,0.0016304850922459091,0.01791021297784451,983.3829787234042,514.36,0.17713194801809906,0.7150368287345208,0.7150368287345208
COL4A6 Collagen; type IV; alpha 6,-2.285882725979744,0.02977314372876952,0.12544488276737464,-103.68085106382979,-14.84,-0.04248942157203753,-0.7141988085727824,0.7141988085727824
Glial Growth Factor 2,-2.932652844731269,0.004941038095633023,0.03775419140811128,55.87234042553192,132.72,-0.034972494830326654,-0.7141446958684688,0.7141446958684688
GB DEF = GTP-binding protein (RAB3A) mRNA,3.53039038141868,0.0007493202671220845,0.010515559417939645,378.9574468085106,123.4,0.11086656725271578,0.714123773550605,0.714123773550605
ME2 Malic enzyme 2; mitochondrial,-2.5358051196381997,0.015655683793305567,0.08200541496140733,344.4468085106383,443.48,-0.04117749292049824,-0.7132472283690096,0.7132472283690096
UDP-galactose translocator,3.221903165612583,0.001968624366938165,0.020121613506288275,44.48936170212766,-18.08,0.02922162927900185,0.7129399920080888,0.7129399920080888
Estrogen Receptor (Gb:S67777),3.7429147048146363,0.00042308151104911444,0.007058785485799073,437.70212765957444,224.64,0.09024610003438685,0.7125784626050814,0.7125784626050814
Proteasome subunit p42,3.015517352154272,0.0038054545462697553,0.03190704356119388,57.93617021276596,-126.0,0.08726084184628521,0.7125478911471668,0.7125478911471668
D-aspartate oxidase,3.3599119759803115,0.001266203027913998,0.015029014061459196,178.70212765957447,102.72,0.034079571926205386,0.7122059340834057,0.7122059340834057
MaTu MN mRNA for p54/58N protein,3.309750196530465,0.0014847267961670416,0.016676324061717547,342.7659574468085,217.84,0.05370518474965373,0.7121918876958285,0.7121918876958285
GB DEF = Bone phosphoprotein spp-24 precursor mRNA,-2.6341871453040073,0.011921307662867666,0.06842183947272983,65.02127659574468,132.32,-0.030584328820222596,-0.7120903884570903,0.7120903884570903
COX4 Cytochrome c oxidase subunit IV,3.198837784009948,0.002117967775725119,0.02108797803511784,40.4468085106383,-58.08,0.046347526106512084,0.7118498361821736,0.7118498361821736
PHKA1 Phosphorylase kinase; alpha 1 (muscle); muscle glycogenosis,-2.330126149895986,0.02665151095559312,0.11670677002605856,158.19148936170214,329.4,-0.07441916773811677,-0.7116137143598691,0.7116137143598691
Mutated in multiple advanced cancers protein (MMAC1) mRNA,-2.330126149895986,0.02665151095559312,0.11670677002605856,158.19148936170214,329.4,-0.07441916773811677,-0.7116137143598691,0.7116137143598691
PRL Prolactin,2.7866039175916053,0.00766565303075139,0.05123874072802699,-2494.021276595745,-3075.0,9.184822598853453,0.7112241944490614,0.7112241944490614
PMS8 mRNA (yeast mismatch repair gene PMS1 homologue); partial cds (C-terminal region),2.88339560068059,0.005725152358053462,0.04194718515987989,-310.1063829787234,-950.52,0.37995698420240454,0.7110001524492462,0.7110001524492462
KIAA0209 gene; partial cds,3.0902120769231507,0.002995774759404026,0.026863997811058242,421.468085106383,217.16,0.08683828487966351,0.7107238853180844,0.7107238853180844
Inward rectifier potassium channel (Kir1.3),-2.5520084696193175,0.014934112724667978,0.07991834918055958,117.36170212765957,164.32,-0.021060322739273732,-0.710137755821392,0.710137755821392
Cytokine receptor (EBI3) mRNA,-2.3729579608413416,0.023908276298834366,0.10849274457949727,889.468085106383,1156.12,-0.09388936288960699,-0.710131516553646,0.710131516553646
P63 mRNA for transmembrane protein,3.427899995873156,0.001024386232756569,0.012902560871592899,2129.3617021276596,1471.48,0.19493112191051182,0.7100151488617185,0.7100151488617185
Calcium Channel; Voltage-Gated; Alpha 1e Subunit; Alt. Splice 3,3.6054078421085656,0.000609205818906671,0.008925632887176065,2842.148936170213,1899.64,0.25026389721055187,0.7096355561841707,0.7096355561841707
GB DEF = Transcript ch132 [human; RF1;RF48 stomach cancer cell lines; mRNA; 216 nt],3.6054078421085656,0.000609205818906671,0.008925632887176065,2842.148936170213,1899.64,0.25026389721055187,0.7096355561841707,0.7096355561841707
GB DEF = Carcinoembryonic antigen family member 2; CGM2,-2.765188207275312,0.008142355024441592,0.0534501371724163,870.1702127659574,1094.44,-0.0797464163329806,-0.7088596368093284,0.7088596368093284
GB DEF = Aspartyl(asparaginyl)beta-hydroxylase [human; hepatoblastoma cell line HepG2; mRNA Partial; 2324 nt],-2.5578377259801632,0.014656907231294362,0.0794859645969941,-22.595744680851062,57.76,-0.03747608705101471,-0.7074440186201956,0.7074440186201956
KERATIN; TYPE II CYTOSKELETAL 6D,2.6565964697214706,0.011122217215404845,0.06477964585671661,6.361702127659575,-29.16,0.016722424798387182,0.7068265229216945,0.7068265229216945
ZNF141 Zinc finger protein 141 (clone pHZ-44),2.900126337672272,0.005408767237599215,0.04045692869974748,114.65957446808511,35.24,0.036365001163793265,0.7067694959715185,0.7067694959715185
Calcium-binding protein chp mRNA,3.6352496745877483,0.0005663596508575763,0.008590591385029068,129.19148936170214,20.16,0.04993052363222596,0.7067614154881837,0.7067614154881837
Nuclear respiratory factor 1 (NRF-1) gene,-2.673554697527545,0.0105954116782514,0.06268438992054294,1267.6382978723404,1634.4,-0.11694560402671704,-0.7066468913167412,0.7066468913167412
CUL-2 (cul-2) mRNA,2.961559871696505,0.004470389677251481,0.0357221089043844,35.91489361702128,9.92,0.012101943553022614,0.7063632312646829,0.7063632312646829
DNA-REPAIR PROTEIN XRCC1,3.2890223453832186,0.001581206770072495,0.01752165154469642,289.0,208.92,0.034748268841173574,0.7061451358157143,0.7061451358157143
(chromosome 3p25) membrane protein mRNA,-2.6080107930336722,0.012736796678778946,0.0711979515403392,363.9148936170213,446.4,-0.03418587750569264,-0.7057570799877283,0.7057570799877283
GB DEF = MFH-1 gene,-2.7085531486695453,0.00956656347299533,0.05879313017153768,868.9148936170212,1166.0,-0.10475044455430715,-0.7054163499046204,0.7054163499046204
KIAA0249 gene,3.6017725539705783,0.0006225792135941551,0.009052867444255415,1344.0851063829787,875.92,0.16152040593394038,0.7047194273703091,0.7047194273703091
G1/S-SPECIFIC CYCLIN E,3.2873408139504097,0.0015882229423237388,0.01755417264469137,44.97872340425532,-44.16,0.04180490219378493,0.7040969039351292,0.7040969039351292
NEUROFILAMENT TRIPLET L PROTEIN,3.1905742360228837,0.002159442459313618,0.021381479572842754,116.93617021276596,75.56,0.018817583072758874,0.7040401827304142,0.7040401827304142
KIAA0105 gene,-2.717781693369646,0.009287398829257405,0.05772965563005474,5271.31914893617,6806.92,-0.24362443083525703,-0.703082060881758,0.703082060881758
Protein disulfide isomerase-related protein P5,2.491314135192604,0.017460362385971918,0.08918409179725681,-17.4468085106383,-153.2,0.06549825383715879,0.702843047066987,0.702843047066987
GB DEF = G protein-coupled receptor (STRL22) mRNA; alternatively spliced 5'UTR sequence,3.3855894667229545,0.001169728653126711,0.014328171079278905,186.17021276595744,80.52,0.047497168444970615,0.7013037289098998,0.7013037289098998
Xanthine Dehydrogenase (Gb:U06117),3.3595601128960793,0.0012669992216211216,0.015029014061459196,851.0425531914893,593.72,0.09777324155028919,0.7013006848479448,0.7013006848479448
PRSM1 Metallopeptidase 1 (33 kD),3.4236786679641096,0.0010423203820221006,0.013082221837034428,179.31914893617022,108.52,0.03172305834664132,0.701159297472799,0.701159297472799
GAA gene extracted from Human lysosomal alpha-glucosidase gene exon 1,-2.7256883949520754,0.009045512009813463,0.05691567088963828,-8.02127659574468,27.76,-0.01672852691856108,-0.7003307074854621,0.7003307074854621
PLCG1 Phospholipase C; gamma 1 (formerly subtype 148),3.0082650043820935,0.003832636381181433,0.03199398684009653,93.38297872340425,-84.96,0.08355479704694647,0.7001083810813958,0.7001083810813958
GB DEF = Endogenous retrovirus envelope region mRNA (PL1),-2.027718211203451,0.05365970801710086,0.17968365373615452,3.4680851063829787,193.88,-0.08655651532699846,-0.6998634987177738,0.6998634987177738
Mucin 1; Epithelial; Alt. Splice 6,2.9531445948975725,0.004549008517794908,0.03608378222529309,12.595744680851064,-32.48,0.021210207811224367,0.6995342302325646,0.6995342302325646
GB DEF = Ataxia-telangiectasia locus protein (ATM) gene; exons 1a; 1b; 2; 3 and 4; partial cds,3.5248836974660707,0.0007780136162787071,0.010625400518105179,481.2340425531915,148.52,0.1416714794955682,0.6994543167286218,0.6994543167286218
A-Myb (Gb:X13294),3.5248836974660707,0.0007780136162787071,0.010625400518105179,481.2340425531915,148.52,0.1416714794955682,0.6994543167286218,0.6994543167286218
PROS1 Plasma protein S ,3.3183262350197866,0.0014394989138040283,0.016336297942016888,653.3404255319149,422.76,0.092076791460798,0.6988571150230097,0.6988571150230097
HTN1 Histatin 1,3.3183262350197866,0.0014394989138040283,0.016336297942016888,653.3404255319149,422.76,0.092076791460798,0.6988571150230097,0.6988571150230097
RECA Replication protein A (E coli RecA homolog; RAD51 homolog),3.3183262350197866,0.0014394989138040283,0.016336297942016888,653.3404255319149,422.76,0.092076791460798,0.6988571150230097,0.6988571150230097
Autoantigen mRNA,-2.421860887631126,0.020884500306888595,0.10039487706527901,259.25531914893617,345.32,-0.036755841087093837,-0.698778515127943,0.698778515127943
GRO2 GRO2 oncogene,3.3539452022857605,0.0012896176151800083,0.015221331090427616,2666.744680851064,2007.0,0.17606019096548256,0.6987103293033349,0.6987103293033349
CA5 Mitochondrial carbonic anhydrase,-2.8025865791128117,0.007191917718702631,0.04939958190886774,2605.808510638298,3906.72,-0.29743891290063906,-0.6985698733155934,0.6985698733155934
D-BETA-HYDROXYBUTYRATE DEHYDROGENASE PRECURSOR,-2.1676617019103146,0.03906255563654327,0.14781154943360772,-7.382978723404255,41.48,-0.022791703068296698,-0.6984407991623657,0.6984407991623657
CD19 CD19 antigen,3.6304950927486286,0.0005889688232607391,0.00872922815182081,2121.723404255319,1376.08,0.22340034625675828,0.6981819846184999,0.6981819846184999
CYP21 Cytochrome P450; subfamily XXI (steroid 21-hydroxylase; congenital adrenal hyperplasia),3.6304950927486286,0.0005889688232607391,0.00872922815182081,2121.723404255319,1376.08,0.22340034625675828,0.6981819846184999,0.6981819846184999
GB DEF = Neural cell adhesion molecule (N-CAM) gene; exon SEC and partial cds,3.6304950927486286,0.0005889688232607391,0.00872922815182081,2121.723404255319,1376.08,0.22340034625675828,0.6981819846184999,0.6981819846184999
MeCP-2 gene,2.7804224867519847,0.007678689726226183,0.05123874072802699,-708.7234042553191,-879.32,0.10790356096710896,0.6981385452578404,0.6981385452578404
Lamin B gene extracted from Human lamin B mRNA,2.7804224867519847,0.007678689726226183,0.05123874072802699,-708.7234042553191,-879.32,0.10790356096710896,0.6981385452578404,0.6981385452578404
Autotaxin mRNA,-3.0925136156281754,0.0029309591083354625,0.02644912339661204,-144.95744680851064,-47.92,-0.04698940755644884,-0.6977317025582398,0.6977317025582398
Heparan N-deacetylase/N-sulfotransferase-2 mRNA,2.4455449340938546,0.019611128573434538,0.09608779079038818,16679.76595744681,14795.52,0.14461143960588896,0.6976304520165061,0.6976304520165061
TDGF1 Teratocarcinoma-derived growth factor 1,2.4455449340938546,0.019611128573434538,0.09608779079038818,16679.76595744681,14795.52,0.14461143960588896,0.6976304520165061,0.6976304520165061
Mg44,-2.906798104034885,0.005236121093015414,0.03941743112154898,-216.04255319148936,-51.16,-0.08086515117066809,-0.6975433679457825,0.6975433679457825
MVK Mevalonate kinase,-2.485655450912434,0.01763407919718013,0.0898594357374533,-101.17021276595744,58.6,-0.07547423219728268,-0.6975320087553807,0.6975320087553807
GTF2E1 General transcription factor TFIIE alpha subunit; 56 kD,-2.715382195836262,0.009288247300837816,0.05772965563005474,727.2127659574468,946.24,-0.08078051630571838,-0.6974409959927362,0.6974409959927362
RPS25 Ribosomal protein S25,3.099148661556337,0.0028685183808795506,0.02613782552029679,210.89361702127658,114.32,0.043023624686429306,0.6971893631370009,0.6971893631370009
Zinc finger protein mRNA,-2.1952756661265274,0.03658202282452219,0.1425099676043818,213.9787234042553,334.28,-0.05181194220065458,-0.6971793083051857,0.6971793083051857
DBT Dihydrolipoamide branched chain transacylase (E2 component of branched chain keto acid dehydrogenase complex; maple syrup urine disease),3.3965568002537743,0.0011337250520484516,0.013983262795940159,357.51063829787233,238.76,0.05078001558212658,0.697103299550206,0.697103299550206
Large-conductance calcium-activated potassium channel (hSlo) mRNA,3.03034262427143,0.0035608175758085957,0.030508548366471017,2046.6382978723404,1438.8,0.18222494923141538,0.6965027724415915,0.6965027724415915
Nek2 mRNA for protein kinase,3.03034262427143,0.0035608175758085957,0.030508548366471017,2046.6382978723404,1438.8,0.18222494923141538,0.6965027724415915,0.6965027724415915
Guanylate cyclase mRNA; complete mature peptide,-2.3382431587278356,0.02580136116245409,0.1143892436114025,-159.70212765957447,43.48,-0.09716747498341555,-0.696135754421206,0.696135754421206
L-SERINE DEHYDRATASE,-2.7890933663011084,0.007452855686640269,0.05021872229684166,45.04255319148936,113.24,-0.03118464135087359,-0.6949069649190431,0.6949069649190431
UBIQUINOL-CYTOCHROME C REDUCTASE IRON-SULFUR SUBUNIT PRECURSOR,2.527510584874484,0.015712912544971785,0.08224475296116289,73.59574468085107,-45.04,0.055391855629727045,0.6948947190130318,0.6948947190130318
GB DEF = Axonemal dynein heavy chain (partial; ID hdhc4),3.012195398692593,0.0037594217387026943,0.03164216951028513,46.38297872340426,3.76,0.019829574495959686,0.6942052266582827,0.6942052266582827
YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein; zeta polypeptide,3.2771506576670837,0.0016347050245480968,0.017928941723082126,1480.8510638297873,1007.36,0.15828045322561118,0.6938275228544649,0.6938275228544649
ECE1 Endothelin converting enzyme 1,3.0860546622267435,0.0029788134680449286,0.026779270130759515,109.29787234042553,55.68,0.02449148875242635,0.6935870691444773,0.6935870691444773
Dihydropyrimidinase related protein-3,3.368672341506087,0.0012355572583867308,0.014828767163365326,1673.1063829787233,1074.36,0.19441959335580467,0.6931738648696129,0.6931738648696129
KIAA0187 gene,3.2753671460554354,0.0016434792033115056,0.017988742509672074,679.468085106383,426.2,0.1007312637716541,0.6927812592136089,0.6927812592136089
MATRIN 3,2.6571764397238242,0.010922405930013313,0.06382445235661058,-75.57446808510639,-209.6,0.06592717514188606,0.6927082922818654,0.6927082922818654
ACHE Acetylcholinesterase (YT blood group),-2.5574096338120844,0.014444025868362133,0.07858468476102227,14.53191489361702,60.32,-0.021217602370839538,-0.6925467992972438,0.6925467992972438
P5-1 mRNA,3.055306307932593,0.0032762610217585103,0.028728739021053405,-54.02127659574468,-122.56,0.033097199588963934,0.6920609773494053,0.6920609773494053
Pre-pro-orphanin FQ (OFQ) mRNA,-2.9160457627642953,0.00505341061784645,0.038366096160412505,140.2127659574468,195.16,-0.024439476698685635,-0.6918870305266327,0.6918870305266327
Sodium iodide symporter mRNA,-2.4891503507033894,0.017362461267616796,0.08892024883393689,259.1063829787234,510.56,-0.10486798487000697,-0.6912607972839842,0.6912607972839842
Polyhomeotic 2 homolog (HPH2) mRNA,-2.5043503052576477,0.01666713996815068,0.08616391648509514,120.2127659574468,174.04,-0.024094025282530577,-0.6912451542075131,0.6912451542075131
ARF3 ADP-ribosylation factor 3,2.8930707056691305,0.005416438326393118,0.04045692869974748,17.27659574468085,-23.4,0.019097285455299817,0.6909666786863695,0.6909666786863695
ITPKB Inositol 1;4;5-trisphosphate 3-kinase B,-2.2235528941535434,0.03405977259266288,0.1368726712587901,101.82978723404256,184.72,-0.037148709023564645,-0.6908705089290993,0.6908705089290993
CLASS II HISTOCOMPATIBILITY ANTIGEN; M ALPHA CHAIN PRECURSOR,-2.2905335637674087,0.028928105071596773,0.12386036394254031,733.0,1449.12,-0.2485437631036135,-0.6904366543846883,0.6904366543846883
130 KD LEUCINE-RICH PROTEIN,2.4076070980173148,0.021503158172274717,0.10215284831825938,-311.9148936170213,-475.88,0.08822382945337605,0.6900747741921354,0.6900747741921354
HS1 binding protein HAX-1 mRNA; nuclear gene encoding mitochondrial protein,3.2228427928330876,0.0019330057963042467,0.019883493956664625,467.8510638297872,160.44,0.13091021537527153,0.689525319154742,0.689525319154742
CPS1 Carbamoyl-phosphate synthetase 1; mitochondrial,2.8753178768287286,0.005702361715918761,0.04186625815940767,175.87234042553192,97.8,0.03505940403130706,0.6887120043479203,0.6887120043479203
Zinc Finger Protein Znf138,3.3083246632531327,0.0014854068984697212,0.016676324061717547,520.3617021276596,304.52,0.08929294390117633,0.6886024891436762,0.6886024891436762
HD Huntingtin (Huntington disease),2.5464476719072273,0.014821929876734615,0.0797475759179178,-170.6595744680851,-268.76,0.049554807711060585,0.6885089302025738,0.6885089302025738
Transcriptional activator hSNF2a,-2.8444695123436854,0.006259838666099481,0.044808834595562966,508.1489361702128,682.12,-0.06838054541572265,-0.6883853143546524,0.6883853143546524
KIAA0212 gene,3.10644420945283,0.002780333462914826,0.0258085901785414,355.40425531914894,271.32,0.03579262284747732,0.6883176955569398,0.6883176955569398
APOLIPOPROTEIN A-IV PRECURSOR,3.10644420945283,0.002780333462914826,0.0258085901785414,355.40425531914894,271.32,0.03579262284747732,0.6883176955569398,0.6883176955569398
Zinc finger protein mRNA; 3' end,-2.3156686602606213,0.027128223173809494,0.11822524520417728,105.59574468085107,170.28,-0.02903690372926572,-0.6880775108559387,0.6880775108559387
TNF receptor associated factor 5 mRNA; partial cds,-2.680103824954463,0.01016871386458746,0.06142827945671861,-23.53191489361702,17.92,-0.019459681984294413,-0.6878113199796896,0.6878113199796896
MLN50 mRNA,-2.680103824954463,0.01016871386458746,0.06142827945671861,-23.53191489361702,17.92,-0.019459681984294413,-0.6878113199796896,0.6878113199796896
CGM7 Carcinoembryonic antigen gene family member 7,-2.5275122323054307,0.015591722237561575,0.08173043222910034,1750.595744680851,2266.04,-0.14638478080559075,-0.6874166834336457,0.6874166834336457
CENPC Centromere autoantigen C,-2.5275122323054307,0.015591722237561575,0.08173043222910034,1750.595744680851,2266.04,-0.14638478080559075,-0.6874166834336457,0.6874166834336457
Fc-epsilon-receptor gamma-chain mRNA,-2.4171588797049983,0.02092206939750605,0.10050770399920528,1546.340425531915,4157.72,-0.6461142406633991,-0.6872446048977253,0.6872446048977253
GLRX Glutaredoxin (thioltransferase),-2.5562037992951794,0.014405743457160095,0.0785157072676562,-57.659574468085104,12.24,-0.03302934444625935,-0.6869538254461623,0.6869538254461623
Nuclear hormone receptor (shp) gene; 3' end of cds,-2.3851802825953823,0.022721298795007044,0.10566219120000339,91.0,159.92,-0.031059073829322496,-0.6868629052992224,0.6868629052992224
(clone zap113) mRNA; 3' end of cds,2.6069781186125587,0.012503680699157228,0.07024329369920558,-133.51063829787233,-186.36,0.02614743068752383,0.6866482000197571,0.6866482000197571
LDLC mRNA,3.5437254284201023,0.0007619895480236122,0.010625400518105179,698.8723404255319,212.28,0.19909470481079589,0.6866228626873951,0.6866228626873951
GB DEF = Hair keratin; hHb6,3.4005564514703526,0.001130402586753217,0.013966447211375537,467.72340425531917,252.44,0.090419840825926,0.6865918099924597,0.6865918099924597
